Year,Month,Category,Electric,Make,Model,Customer Category,Qty
2022,June,Medium < $60k,FALSE,Hyundai,Sonata,Fleet,1
2022,June,Medium < $60k,FALSE,Hyundai,Sonata,59 (Unknown),1
2022,June,Medium < $60k,FALSE,Mazda,Mazda 6,Private,3
2022,June,Medium < $60k,FALSE,Mazda,Mazda 6,Fleet,1
2022,June,Medium < $60k,FALSE,Mazda,Mazda 6,59 (Unknown),1
2022,June,Medium < $60k,FALSE,Peugeot,508,Private,1
2022,June,Medium < $60k,FALSE,Skoda,Octavia,Private,1
2022,June,Medium < $60k,FALSE,Skoda,Octavia,Fleet,7
2022,June,Medium < $60k,FALSE,Skoda,Octavia,59 (Unknown),7
2022,June,Medium < $60k,FALSE,Toyota,Camry,Private,23
2022,June,Medium < $60k,FALSE,Toyota,Camry,Fleet,9
2022,June,Medium < $60k,FALSE,Volkswagen,Passat,Private,1
2022,June,Medium > $60k,FALSE,Audi,A4,Private,2
2022,June,Medium > $60k,FALSE,Audi,A4,Fleet,4
2022,June,Medium > $60k,FALSE,Audi,A4,59 (Unknown),4
2022,June,Medium > $60k,FALSE,Audi,A5 Sportback,Private,1
2022,June,Medium > $60k,FALSE,Audi,A5 Sportback,Fleet,3
2022,June,Medium > $60k,FALSE,Audi,A5 Sportback,59 (Unknown),1
2022,June,Medium > $60k,FALSE,BMW,3 Series,Private,15
2022,June,Medium > $60k,FALSE,BMW,3 Series,Fleet,2
2022,June,Medium > $60k,FALSE,BMW,3 Series,59 (Unknown),2
2022,June,Medium > $60k,FALSE,BMW,4 Series Gran Coupe,Private,5
2022,June,Medium > $60k,FALSE,BMW,4 Series Gran Coupe,Fleet,1
2022,June,Medium > $60k,FALSE,BMW,4 Series Gran Coupe,59 (Unknown),1
2022,June,Medium > $60k,FALSE,Jaguar,XE,Private,2
2022,June,Medium > $60k,FALSE,Jaguar,XE,Fleet,1
2022,June,Medium > $60k,FALSE,Lexus,ES,Private,2
2022,June,Medium > $60k,FALSE,Lexus,ES,Fleet,8
2022,June,Medium > $60k,FALSE,Lexus,ES,59 (Unknown),6
2022,June,Medium > $60k,FALSE,Mercedes-Benz,C-Class,Private,15
2022,June,Medium > $60k,FALSE,Mercedes-Benz,C-Class,Fleet,6
2022,June,Medium > $60k,FALSE,Mercedes-Benz,CLA-Class,Private,7
2022,June,Medium > $60k,FALSE,Mercedes-Benz,CLA-Class,Fleet,5
2022,June,Medium > $60k,FALSE,Polestar,Polestar 2,Private,3
2022,June,Medium > $60k,FALSE,Tesla,Model 3,Private,86
2022,June,Medium > $60k,FALSE,Tesla,Model 3,Fleet,46
2022,June,Medium > $60k,FALSE,Volkswagen,Arteon,Private,1
2022,June,Medium > $60k,FALSE,Volkswagen,Arteon,Fleet,1
2022,June,Medium > $60k,FALSE,Volvo,S60,Private,3
2022,June,Medium > $60k,FALSE,Volvo,S60,Fleet,1
2022,June,Medium > $60k,FALSE,Volvo,S60,59 (Unknown),1
2022,June,Medium > $60k,FALSE,Volvo,V60 Cross Country,Private,1
2022,June,Medium > $60k,FALSE,Volvo,V60 Cross Country,Fleet,1
2022,June,Medium > $60k,FALSE,Volvo,V60 Cross Country,59 (Unknown),1
2022,June,Large < $70k,FALSE,Kia,Stinger,Private,18
2022,June,Large < $70k,FALSE,Kia,Stinger,Fleet,8
2022,June,Large < $70k,FALSE,Kia,Stinger,59 (Unknown),2
2022,June,Large < $70k,FALSE,Skoda,Superb,Private,1
2022,June,Large < $70k,FALSE,Skoda,Superb,Fleet,3
2022,June,Large < $70k,FALSE,Skoda,Superb,59 (Unknown),3
2022,June,Large > $70k,FALSE,Audi,A6,Private,0
2022,June,Large > $70k,FALSE,Audi,A6,Fleet,5
2022,June,Large > $70k,FALSE,Audi,A6,59 (Unknown),4
2022,June,Large > $70k,FALSE,Audi,A7,Private,0
2022,June,Large > $70k,FALSE,Audi,A7,Fleet,1
2022,June,Large > $70k,FALSE,Audi,A7,59 (Unknown),1
2022,June,Large > $70k,FALSE,BMW,5 Series,Private,3
2022,June,Large > $70k,FALSE,BMW,5 Series,Fleet,1
2022,June,Large > $70k,FALSE,BMW,5 Series,59 (Unknown),1
2022,June,Large > $70k,FALSE,Genesis,G80,Private,0
2022,June,Large > $70k,FALSE,Genesis,G80,Fleet,1
2022,June,Large > $70k,FALSE,Maserati,Ghibli,Private,2
